chr	start	end	strand	transcript_id	gene_name	TSS
chr1	14168958	14310199	-	NM_001252192	Eya1	14310199
chr1	14168958	14310199	-	NM_010164	Eya1	14310199
chr1	14168958	14310199	-	NM_001310459	Eya1	14310199
chr1	14753346	14755966	-	NM_010827	Msc	14755966
chr1	14753346	14755966	-	NM_001360810	Msc	14755966
chr1	14872644	14918862	-	NM_177781	Trpa1	14918862
chr1	14872644	14918862	-	NM_001348288	Trpa1	14918862
chr1	15286925	15723750	+	NM_001098528	Kcnb2	15286925
chr1	15805646	15844052	+	NM_009352	Terf1	15805646
chr1	15805646	15844052	+	NM_001286628	Terf1	15805646
chr1	15805646	15844052	+	NR_152944	Terf1	15805646
chr1	15853862	15892722	-	NM_001033288	Sbspon	15892722
chr1	16065979	16093325	-	NM_001305227	4930444P10Rik	16093325
chr1	16065979	16093325	-	NM_001243238	4930444P10Rik	16093325
chr1	16101296	16104433	-	NM_011291	Rpl7	16104433
chr1	16105882	16132550	+	NM_133832	Rdh10	16105882
chr1	16228810	16519302	-	NM_025303	Stau2	16519302
chr1	16228810	16519302	-	NM_001111272	Stau2	16519302
chr1	16344291	16519302	-	NM_001347045	Stau2	16519302
chr1	16344291	16519115	-	NM_001347044	Stau2	16519115
chr1	16540788	16619291	-	NM_001271016	Ube2w	16619291
chr1	16568674	16619291	-	NM_001271017	Ube2w	16619291
chr1	16568674	16619291	-	NM_025773	Ube2w	16619291
chr1	16568674	16619291	-	NR_073122	Ube2w	16619291
chr1	16641725	16657119	-	NM_001310470	Eloc	16657119
chr1	16642765	16656865	-	NM_026456	Eloc	16656865
chr1	16657552	16662278	+	NR_037998	D030040B21Rik	16657552
chr1	16665191	16678275	+	NM_027415	Tmem70	16665191
chr1	16665191	16678275	+	NM_026392	Tmem70	16665191
chr1	16688456	16709605	+	NM_001159711	Ly96	16688456
chr1	16688456	16709605	+	NM_016923	Ly96	16688456
chr1	16994940	17097889	-	NM_020604	Jph1	17097889
chr1	17145373	17164270	+	NM_010267	Gdap1	17145373
chr1	17601901	17630939	+	NM_053191	Pi15	17601901
chr1	17676027	17727646	-	NR_130314	Gm16070	17727646
chr1	17727045	17766344	+	NM_001356551	Crispld1	17727045
chr1	17727417	17766207	+	NM_031402	Crispld1	17727417
chr1	18115191	18145902	-	NM_001347048	Crisp4	18145902
chr1	18115191	18145902	-	NM_001347047	Crisp4	18145902
chr1	18210053	18223564	-	NR_002879	Defb44-ps	18223564
chr1	18236402	18237476	-	NM_001039123	Defb18	18237476
chr1	18250978	18265138	-	NM_183124	Defb41	18265138
chr1	18260391	18265138	-	NM_001040027	Defb41	18265138
chr1	19063300	19104840	-	NR_151619	Gm15825	19104840
chr1	19103022	19168587	+	NM_153154	Tfap2d	19103022
chr1	19208914	19238845	+	NM_001286340	Tfap2b	19208914
chr1	19208914	19238845	+	NM_009334	Tfap2b	19208914
chr1	19212054	19238845	+	NM_001025305	Tfap2b	19212054
chr1	20057779	20618057	-	NM_153179	Pkhd1	20618057
chr1	20356454	20392300	+	NR_045734	4930486I03Rik	20356454
chr1	20669882	20682958	+	NR_131249	Lincmd1	20669882
chr1	20679010	20679082	+	NR_029593	Mir206	20679010
chr1	20682769	20682887	+	NR_029902	Mir133b	20682769
chr1	20730905	20734496	+	NM_010552	Il17a	20730905
chr1	20777146	20784270	-	NM_145856	Il17f	20784270
chr1	20802968	20820312	-	NM_008563	Mcm3	20820312
chr1	20888650	20890473	-	NR_040492	6720483E21Rik	20890473
chr1	20890548	20939650	+	NM_028829	Paqr8	20890548
chr1	20917840	20939650	+	NM_001355122	Paqr8	20917840
chr1	20951626	20990841	+	NM_027974	Efhc1	20951626
chr1	21001397	21079225	-	NM_177409	Tram2	21079225
chr1	21218575	21230167	+	NM_029398	Tmem14a	21218575
chr1	21218575	21230167	+	NM_001290679	Tmem14a	21218575
chr1	21240585	21265575	+	NM_010356	Gsta3	21240585
chr1	21240585	21265575	+	NM_001077353	Gsta3	21240585
chr1	21240585	21265575	+	NM_001288617	Gsta3	21240585
chr1	21285246	21298312	-	NR_002858	Gm4956	21298312
chr1	21349677	21352199	+	NM_183322	Khdc1a	21349677
chr1	21368331	21369743	+	NM_001033904	Khdc1c	21368331
chr1	21383556	21386384	+	NM_001113187	Khdc1b	21383556
chr1	21398399	21962650	-	NM_001310477	Kcnq5	21962650
chr1	21398403	21961942	-	NM_023872	Kcnq5	21961942
chr1	21398403	21961942	-	NM_001160139	Kcnq5	21961942
chr1	22285973	22806003	-	NM_053270	Rims1	22806003
chr1	22285973	22806003	-	NM_183018	Rims1	22806003
chr1	22285973	22806003	-	NM_001012624	Rims1	22806003
chr1	22285973	22806003	-	NM_001012625	Rims1	22806003
chr1	22285973	22806003	-	NM_001012623	Rims1	22806003
chr1	22898387	22905081	+	NR_151543	Gm7759	22898387
chr1	23100474	23102253	-	NM_025746	Ppp1r14bl	23102253
chr1	23272269	23272339	+	NR_029533	Mir30a	23272269
chr1	23291701	23291784	+	NR_029717	Mir30c-2	23291701
chr1	23366424	23383175	-	NM_001081079	Ogfrl1	23383175
chr1	23574587	23596650	+	NR_151529	Gm28822	23574587
chr1	23761926	23847858	+	NM_172124	B3gat2	23761926
chr1	23844825	23909736	-	NR_110972	Smap1	23909736
chr1	23845625	23922381	-	NM_028534	Smap1	23922381
chr1	23845625	23922381	-	NM_001357395	Smap1	23922381
chr1	23845625	23909736	-	NM_001290683	Smap1	23909736
chr1	23995939	24005640	-	NM_026503	Sdhaf4	24005640
chr1	24010758	24100341	-	NM_026604	Fam135a	24100341
chr1	24177610	24252738	+	NM_007740	Col9a1	24177610
chr1	24195203	24252738	+	NM_001290691	Col9a1	24195203
chr1	24257683	24587437	-	NM_007733	Col19a1	24587437
chr1	24678544	24766301	+	NM_026719	Lmbrd1	24678544
chr1	24678918	24766299	+	NM_001310483	Lmbrd1	24678918
chr1	25067476	25829707	-	NM_175642	Adgrb3	25829707
chr1	25276404	25277954	-	NM_001204913	Gm20172	25277954
chr1	26681801	26687460	-	NM_001033764	4931408C20Rik	26687460
chr1	27884046	27902187	+	NR_151583	Gm5524	27884046
chr1	28776122	28780252	-	NM_001013750	Gm597	28780252
chr1	29421488	29421612	+	NR_105760	Mir6342	29421488
chr1	30121013	30138836	-	NR_157037	Gm31465	30138836
chr1	30121013	30138836	-	NR_157038	Gm31465	30138836
chr1	30121013	30138836	-	NR_157039	Gm31465	30138836
chr1	30802342	30863256	-	NM_001081080	Phf3	30863256
chr1	30940303	30949755	-	NM_011200	Ptp4a1	30949755
chr1	30941592	30949710	-	NR_002688	Gm13363	30949710
chr1	30949871	30951335	+	NR_164183	LOC115487084	30949871
chr1	31019188	31096454	-	NR_136907	Gm29669	31096454
chr1	31141078	31222656	-	NR_033445	4931428L18Rik	31222656
chr1	31176435	31204725	+	NM_153601	Lgsn	31176435
chr1	31222839	31224287	+	NM_029062	Pih1d3	31222839
chr1	31264847	31268061	+	NR_015347	Gm4850	31264847
chr1	32172722	32658569	+	NM_133235	Khdrbs2	32172722
chr1	32519563	32520999	-	NM_001199956	Gm9839	32520999
chr1	32543546	32547293	-	NM_001164286	Gm5415	32547293
chr1	33453808	33669794	-	NM_008922	Prim2	33669794
chr1	33669824	33670712	+	NR_033199	1700001G17Rik	33669824
chr1	33714181	33719846	-	NR_157041	Gm32229	33719846
chr1	33719896	33742564	+	NM_008999	Rab23	33719896
chr1	33720419	33742564	+	NM_001159729	Rab23	33720419
chr1	33745484	33757750	-	NM_145392	Bag2	33757750
chr1	33761541	33814595	-	NM_001290699	Zfp451	33814595
chr1	33761541	33814595	-	NM_133817	Zfp451	33814595
chr1	33761545	33814595	-	NM_001359274	Zfp451	33814595
chr1	33761545	33814595	-	NM_001359275	Zfp451	33814595
chr1	33801960	33814595	-	NM_001290700	Zfp451	33814595
chr1	33835899	33838914	-	NM_001161816	Gm15455	33838914
chr1	33852052	33907767	-	NM_001310484	Bend6	33907767
chr1	33852052	33907621	-	NM_177235	Bend6	33907621
chr1	33908225	34308662	+	NM_001276764	Dst	33908225
chr1	34011595	34308656	+	NM_133833	Dst	34011595
chr1	34011595	34308656	+	NM_134448	Dst	34011595
chr1	34117359	34117431	+	NR_105861	Mir6896	34117359
chr1	34160260	34183903	+	NM_010081	Dst	34160260
chr1	34433121	34433199	-	NR_039562	Mir5103	34433199
chr1	34436670	34439672	-	NM_027159	Ccdc115	34439672
chr1	34439829	34445747	+	NM_178601	Imp4	34439829
chr1	34459746	34473779	+	NM_011206	Ptpn18	34459746
chr1	34498412	34503062	+	NM_009355	Prss39	34498412
chr1	34498412	34503062	+	NM_001360855	Prss39	34498412
chr1	34535648	34544311	+	NM_007685	Cfc1	34535648
chr1	34535648	34544311	+	NR_153806	Cfc1	34535648
chr1	34552331	34560943	-	NM_009356	Prss40	34560943
chr1	34579693	34590944	+	NM_213727	Amer3	34579693
chr1	34633535	34636210	-	NR_033627	AA619741	34636210
chr1	34678182	34812738	+	NM_001368773	Arhgef4	34678182
chr1	34801741	34812738	+	NM_183019	Arhgef4	34801741
chr1	34813218	34843050	-	NM_174997	Fam168b	34843050
chr1	34813218	34843050	-	NM_001160236	Fam168b	34843050
chr1	34813218	34843050	-	NM_001160235	Fam168b	34843050
chr1	34849959	34879585	+	NM_145516	Plekhb2	34849959
chr1	34849959	34871557	+	NM_175421	Plekhb2	34849959
chr1	34849989	34879554	+	NM_001357425	Plekhb2	34849989
chr1	36068400	36106446	+	NM_015818	Hs6st1	36068400
chr1	36140028	36244302	-	NM_198899	Uggt1	36244302
chr1	36144252	36144313	-	NR_105862	Mir6897	36144313
chr1	36264602	36273425	-	NM_153408	Neurl3	36273425
chr1	36307733	36324029	+	NM_001290726	Arid5a	36307733
chr1	36307733	36324029	+	NM_001290727	Arid5a	36307733
chr1	36307733	36324029	+	NM_145996	Arid5a	36307733
chr1	36307733	36324029	+	NM_001172206	Arid5a	36307733
chr1	36307733	36324029	+	NM_001172205	Arid5a	36307733
chr1	36307733	36324029	+	NR_033310	Arid5a	36307733
chr1	36335730	36369181	-	NM_001310513	Kansl3	36369181
chr1	36335730	36369181	-	NM_172652	Kansl3	36369181
chr1	36348682	36348758	-	NR_105863	Mir6898	36348758
chr1	36372190	36422110	+	NM_001277076	Fer1l5	36372190
chr1	36423186	36445271	-	NM_001310517	Lman2l	36445271
chr1	36423186	36445271	-	NM_001013374	Lman2l	36445271
chr1	36471597	36508776	+	NM_033570	Cnnm4	36471597
chr1	36511867	36528236	+	NM_053186	Cnnm3	36511867
chr1	36511867	36528236	+	NM_001331209	Cnnm3	36511867
chr1	36511867	36528236	+	NM_001039551	Cnnm3	36511867
chr1	36530193	36536556	-	NM_001310521	Ankrd23	36536556
chr1	36530193	36535739	-	NM_153502	Ankrd23	36535739
chr1	36538171	36547252	-	NR_132321	Ankrd39	36547252
chr1	36538171	36547252	-	NM_001310533	Ankrd39	36547252
chr1	36538171	36547252	-	NM_026241	Ankrd39	36547252
chr1	36548639	36558381	-	NM_001126047	Sema4c	36558381
chr1	36548639	36557557	-	NM_001304330	Sema4c	36557557
chr1	36548639	36557557	-	NM_001304329	Sema4c	36557557
chr1	36562696	36593332	-	NM_027957	Fam178b	36593332
chr1	36562696	36683183	-	NM_001126046	Fam178b	36683183
chr1	36562698	36683147	-	NM_001372416	Fam178b	36683147
chr1	36562698	36683147	-	NM_001372417	Fam178b	36683147
chr1	36599971	36683183	-	NM_201365	Fam178b	36683183
chr1	36691487	36693388	+	NM_009942	Cox5b	36691487
chr1	36699202	36709925	-	NM_146107	Actr1b	36709925
chr1	36714537	36757959	+	NM_001374322	4933424G06Rik	36714537
chr1	36761798	36782820	+	NM_009539	Zap70	36761798
chr1	36764515	36782820	+	NM_001289766	Zap70	36764515
chr1	36766934	36782820	+	NM_001289765	Zap70	36766934
chr1	36778984	36782820	+	NM_001289612	Zap70	36778984
chr1	36792189	36939527	-	NM_018872	Tmem131	36939527
chr1	37029313	37141335	+	NM_001370829	Vwa3b	37029313
chr1	37029313	37187607	+	NM_001370828	Vwa3b	37029313
chr1	37218278	37263384	+	NM_001282010	Cnga3	37218278
chr1	37219205	37263384	+	NM_009918	Cnga3	37219205
chr1	37299838	37410740	+	NM_001290797	Inpp4a	37299838
chr1	37299838	37410740	+	NM_030266	Inpp4a	37299838
chr1	37299896	37410735	+	NM_001374629	Inpp4a	37299896
chr1	37299896	37410735	+	NM_001374630	Inpp4a	37299896
chr1	37369217	37404442	+	NM_001290798	Inpp4a	37369217
chr1	37369217	37404442	+	NM_001290799	Inpp4a	37369217
chr1	37369217	37404442	+	NM_172971	Inpp4a	37369217
chr1	37417085	37430103	-	NM_198006	Coa5	37430103
chr1	37430139	37438986	+	NM_001356528	Unc50	37430139
chr1	37430139	37438986	+	NM_026123	Unc50	37430139
chr1	37439340	37536404	-	NM_001290801	Mgat4a	37536404
chr1	37439340	37541016	-	NM_173870	Mgat4a	37541016
chr1	37485851	37488605	-	NR_024017	4930594C11Rik	37488605
chr1	37611676	37719811	-	NM_028096	2010300C02Rik	37719811
chr1	37754572	37865082	-	NM_207228	Tsga10	37865082
chr1	37760824	37855373	-	NM_001290721	Tsga10	37855373
chr1	37760824	37865298	-	NM_001290720	Tsga10	37865298
chr1	37801463	37855373	-	NR_110976	Tsga10	37855373
chr1	37872206	37876298	+	NM_001037918	Lipt1	37872206
chr1	37874801	37890411	-	NM_001356262	Mitd1	37890411
chr1	37878888	37890411	-	NM_026913	Mitd1	37890411
chr1	37890477	37898338	+	NM_027098	Mrpl30	37890477
chr1	37890477	37898338	+	NM_001356482	Mrpl30	37890477
chr1	37905923	37916493	-	NM_001033427	Lyg2	37916493
chr1	37946738	37957759	-	NM_027111	Lyg1	37957759
chr1	37983867	37997208	-	NM_172054	Txndc9	37997208
chr1	37998010	38055579	+	NM_198303	Eif5b	37998010
chr1	38052786	38129666	-	NM_001359287	Rev1	38129666
chr1	38052786	38129666	-	NM_019570	Rev1	38129666
chr1	38052786	38129666	-	NM_001359288	Rev1	38129666
chr1	38132083	38159892	+	NR_151587	Gm5099	38132083
chr1	38175991	38627244	-	NM_001290814	Aff3	38627244
chr1	38793669	38836687	-	NM_001029878	Lonrf2	38836687
chr1	38863873	38898160	-	NM_145142	Chst10	38898160
chr1	38863873	38898160	-	NM_001368780	Chst10	38898160
chr1	38939149	38950276	+	NM_001311788	Nms	38939149
chr1	38939149	38950276	+	NM_001011684	Nms	38939149
chr1	38987814	38997236	+	NM_026850	Pdcl3	38987814
chr1	39186896	39186992	-	NR_105767	Mir6349	39186992
chr1	39194272	39363240	+	NM_008719	Npas2	39194272
chr1	39367851	39371910	+	NM_001252219	Rpl31	39367851
chr1	39367851	39371910	+	NM_001252218	Rpl31	39367851
chr1	39367851	39371910	+	NM_053257	Rpl31	39367851
chr1	39371496	39478747	-	NM_018775	Tbc1d8	39478747
chr1	39371496	39478755	-	NM_001357521	Tbc1d8	39478755
chr1	39373313	39478755	-	NM_001357522	Tbc1d8	39478755
chr1	39535701	39546877	+	NM_028043	Cnot11	39535701
chr1	39548747	39548840	-	NR_028555	Snord89	39548840
chr1	39551296	39577347	-	NM_001033135	Rnf149	39577347
chr1	39618406	39651182	-	NM_170597	Creg2	39651182
chr1	39665301	39720989	-	NM_001145660	Rfx8	39720989
chr1	39804141	39805332	-	NM_001177348	Gm3646	39805332
chr1	39842428	39847330	-	NR_040465	1700066B17Rik	39847330
chr1	39900913	40026310	+	NM_008696	Map4k4	39900913
chr1	39900913	40026310	+	NM_001252201	Map4k4	39900913
chr1	39900913	40026310	+	NM_001252200	Map4k4	39900913
chr1	39900913	40026310	+	NM_001252202	Map4k4	39900913
chr1	40076212	40085851	-	NR_037980	Gm16894	40085851
chr1	40084714	40125230	+	NM_010555	Il1r2	40084714
chr1	40084714	40125230	+	NM_001360801	Il1r2	40084714
chr1	40086093	40125230	+	NM_001360800	Il1r2	40086093
chr1	40225080	40316177	+	NM_008362	Il1r1	40225080
chr1	40266586	40316177	+	NM_001123382	Il1r1	40266586
chr1	40324589	40367553	+	NM_133193	Il1rl2	40324589
chr1	40324589	40367553	+	NM_001356478	Il1rl2	40324589
chr1	40429570	40448411	+	NM_001294171	Il1rl1	40429570
chr1	40439629	40448411	+	NM_010743	Il1rl1	40439629
chr1	40439629	40465414	+	NM_001025602	Il1rl1	40439629
chr1	40465552	40491578	+	NM_001161842	Il18r1	40465552
chr1	40465621	40491580	+	NM_001161843	Il18r1	40465621
chr1	40466006	40500854	+	NM_008365	Il18r1	40466006
chr1	40515362	40551705	+	NM_010553	Il18rap	40515362
chr1	40580227	40630731	+	NM_177084	Slc9a4	40580227
chr1	40681712	40768885	+	NM_001033289	Slc9a2	40681712
chr1	40772040	40790657	-	NM_172499	Mfsd9	40790657
chr1	40805601	40855267	+	NM_001081198	Tmem182	40805601
chr1	41167560	41181252	-	NR_040475	4930448I06Rik	41181252
chr1	42648200	42694825	-	NR_027826	Pantr1	42694825
chr1	42695768	42700209	+	NM_008900	Pou3f3	42695768
chr1	42700336	42703176	+	NR_027891	2900092D14Rik	42700336
chr1	42707063	42713454	-	NR_110495	Pantr2	42713454
chr1	42750712	42752886	+	NR_130904	Dalir	42750712
chr1	42851233	42905683	+	NM_023514	Mrps9	42851233
chr1	42952872	43035449	+	NM_053107	Gpr45	42952872
chr1	43047200	43092486	-	NM_001357299	Tgfbrap1	43092486
chr1	43047200	43098628	-	NM_001013025	Tgfbrap1	43098628
chr1	43098710	43115946	+	NM_133818	AI597479	43098710
chr1	43123071	43196761	-	NM_001289533	Fhl2	43196761
chr1	43123071	43163961	-	NM_010212	Fhl2	43163961
chr1	43445751	43570518	+	NM_010879	Nck2	43445751
chr1	43730602	43742564	+	NM_024283	Ecrg4	43730602
chr1	43746961	43826584	-	NM_001368289	Uxs1	43826584
chr1	43746961	43827839	-	NR_160750	Uxs1	43827839
chr1	43746961	43827839	-	NR_160749	Uxs1	43827839
chr1	43746961	43827839	-	NM_001368288	Uxs1	43827839
chr1	43746961	43827839	-	NM_026430	Uxs1	43827839
chr1	43746961	43827839	-	NR_160751	Uxs1	43827839
chr1	43746961	43827839	-	NM_001368287	Uxs1	43827839
chr1	43933994	44003000	+	NM_009418	Tpp2	43933994
chr1	43933994	44003000	+	NM_001310540	Tpp2	43933994
chr1	44009408	44020006	-	NM_001013799	Mettl21c	44020006
chr1	44086613	44102441	-	NM_029368	Tex30	44102441
chr1	44086613	44102441	-	NM_001356297	Tex30	44102441
chr1	44086613	44102441	-	NM_001356296	Tex30	44102441
chr1	44106546	44118773	-	NM_023645	Poglut2	44118773
chr1	44118957	44144517	+	NM_001357046	Bivm	44118957
chr1	44119162	44144517	+	NM_001357047	Bivm	44119162
chr1	44119528	44144517	+	NM_001357048	Bivm	44119528
chr1	44119968	44144771	+	NM_144558	Bivm	44119968
chr1	44147744	44181260	+	NM_011729	Ercc5	44147744
chr1	44204070	44218931	-	NM_207281	Mettl21e	44218931
chr1	44551671	44796836	+	NM_028450	Gulp1	44551671
chr1	44739675	44744949	-	NR_040602	4930521E06Rik	44744949
chr1	45311538	45349706	+	NM_009930	Col3a1	45311538
chr1	45374331	45503282	-	NM_007737	Col5a2	45503282
chr1	45795166	45823638	+	NM_028599	Wdr75	45795166
chr1	45908070	45925594	-	NM_016917	Slc40a1	45925594
chr1	46020415	46030437	-	NR_037691	Stk-ps2	46030437
chr1	46020415	46030437	-	NR_037690	Stk-ps2	46030437
chr1	46066853	46373546	+	NM_001368717	Dnah7b	46066853
chr1	46425518	46807477	+	NM_001310335	Dnah7c	46425518
chr1	46807544	46853618	-	NM_172653	Slc39a10	46853618
chr1	46807544	46925776	-	NM_001356417	Slc39a10	46925776
chr1	46807544	46853618	-	NM_001356416	Slc39a10	46853618
chr1	47467021	47467125	-	NR_105768	Mir6350	47467125
chr1	49244616	49340431	+	NR_151585	C230029F24Rik	49244616
chr1	50927523	51187270	+	NM_019790	Tmeff2	50927523
chr1	51218386	51333779	-	NR_045151	9330175M20Rik	51333779
chr1	51289126	51302960	+	NM_138741	Cavin2	51289126
chr1	51469488	51478399	-	NM_001310548	Nabp1	51478399
chr1	51469488	51478399	-	NM_028696	Nabp1	51478399
chr1	51469488	51478399	-	NM_001310549	Nabp1	51478399
chr1	51509505	51596718	-	NR_151621	Gm17767	51596718
chr1	51749758	51915978	-	NM_001290982	Myo1b	51915978
chr1	51749758	51915978	-	NM_001161817	Myo1b	51915978
chr1	51749758	51915978	-	NM_010863	Myo1b	51915978
chr1	51987148	52107189	+	NM_001308266	Stat4	51987148
chr1	52008240	52107189	+	NM_011487	Stat4	52008240
chr1	52119438	52161865	+	NM_001205314	Stat1	52119438
chr1	52119438	52161865	+	NM_009283	Stat1	52119438
chr1	52119438	52161865	+	NM_001357627	Stat1	52119438
chr1	52119622	52161865	+	NM_001205313	Stat1	52119622
chr1	52163450	52233232	-	NM_001081081	Gls	52233232
chr1	52185281	52233232	-	NM_001113383	Gls	52233232
chr1	52455849	52500448	-	NM_008667	Nab1	52500448
chr1	52570014	52580292	-	NR_151614	Gm28178	52580292
chr1	52630705	52651919	+	NM_001142647	Nemp2	52630705
chr1	52630705	52651919	+	NR_024590	Nemp2	52630705
chr1	52656286	52727358	-	NM_001357464	Mfsd6	52727358
chr1	52656305	52727318	-	NM_133829	Mfsd6	52727318
chr1	52659986	52727318	-	NM_178081	Mfsd6	52727318
chr1	52789420	52817688	-	NM_008384	Inpp1	52817688
chr1	52845038	52920986	+	NM_146108	Hibch	52845038
chr1	52922324	52952840	-	NM_144953	1700019D03Rik	52952840
chr1	52922324	52947980	-	NM_001368281	1700019D03Rik	52947980
chr1	52922324	52953614	-	NM_001368279	1700019D03Rik	52953614
chr1	52922324	52953350	-	NM_001368280	1700019D03Rik	52953350
chr1	52922324	52963231	-	NM_001368278	1700019D03Rik	52963231
chr1	52922324	52972046	-	NM_001368277	1700019D03Rik	52972046
chr1	52922324	52992657	-	NM_001368276	1700019D03Rik	52992657
chr1	52922324	52992657	-	NM_001368274	1700019D03Rik	52992657
chr1	53061640	53068079	+	NM_010834	Mstn	53061640
chr1	53158577	53187617	-	NM_027070	1700019A02Rik	53187617
chr1	53158577	53187617	-	NM_001368200	1700019A02Rik	53187617
chr1	53189189	53297028	-	NM_153556	Pms1	53297028
