name group
GSM3749328_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D12_AD007.chr3.normalized.rwr.bedpe A
GSM3749335_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D1_AD007.chr3.normalized.rwr.bedpe A
GSM3749342_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D2_AD007.chr3.normalized.rwr.bedpe A
GSM3749349_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D3_AD007.chr3.normalized.rwr.bedpe A
GSM3749354_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D4_AD006.chr3.normalized.rwr.bedpe A
GSM3749357_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D4_AD010.chr3.normalized.rwr.bedpe A
GSM3749361_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D5_AD004.chr3.normalized.rwr.bedpe A
GSM3749363_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D5_AD007.chr3.normalized.rwr.bedpe A
GSM3749364_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D5_AD008.chr3.normalized.rwr.bedpe A
GSM3749366_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D5_AD012.chr3.normalized.rwr.bedpe A
GSM3749373_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D7_AD001.chr3.normalized.rwr.bedpe A
GSM3749377_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D7_AD007.chr3.normalized.rwr.bedpe A
GSM3749380_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D7_AD012.chr3.normalized.rwr.bedpe A
GSM3749387_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D9_AD006.chr3.normalized.rwr.bedpe A
GSM3749391_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D9_AD012.chr3.normalized.rwr.bedpe A
GSM3749392_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E10_AD001.chr3.normalized.rwr.bedpe A
GSM3749395_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E10_AD007.chr3.normalized.rwr.bedpe A
GSM3749398_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E11_AD001.chr3.normalized.rwr.bedpe A
GSM3749400_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E11_AD004.chr3.normalized.rwr.bedpe A
GSM3749408_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E12_AD008.chr3.normalized.rwr.bedpe A
GSM3749423_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E3_AD002.chr3.normalized.rwr.bedpe A
GSM3749424_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E3_AD004.chr3.normalized.rwr.bedpe A
GSM3749435_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E5_AD001.chr3.normalized.rwr.bedpe A
GSM3749437_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E5_AD004.chr3.normalized.rwr.bedpe A
GSM3749442_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E6_AD002.chr3.normalized.rwr.bedpe A
GSM3749447_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E7_AD001.chr3.normalized.rwr.bedpe A
GSM3749449_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E7_AD006.chr3.normalized.rwr.bedpe A
GSM3749453_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E7_AD012.chr3.normalized.rwr.bedpe A
GSM3749466_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E9_AD008.chr3.normalized.rwr.bedpe A
GSM3749467_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E9_AD010.chr3.normalized.rwr.bedpe A
GSM3749470_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F10_AD002.chr3.normalized.rwr.bedpe A
GSM3749471_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F10_AD004.chr3.normalized.rwr.bedpe A
GSM3749487_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F12_AD012.chr3.normalized.rwr.bedpe A
GSM3749494_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F2_AD001.chr3.normalized.rwr.bedpe A
GSM3749505_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F4_AD001.chr3.normalized.rwr.bedpe A
GSM3749508_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F4_AD007.chr3.normalized.rwr.bedpe A
GSM3749517_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F6_AD001.chr3.normalized.rwr.bedpe A
GSM3749521_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F6_AD012.chr3.normalized.rwr.bedpe A
GSM3749526_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F7_AD007.chr3.normalized.rwr.bedpe A
GSM3749527_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F7_AD008.chr3.normalized.rwr.bedpe A
GSM3749528_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F7_AD010.chr3.normalized.rwr.bedpe A
GSM3749536_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F9_AD002.chr3.normalized.rwr.bedpe A
GSM3749544_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G10_AD004.chr3.normalized.rwr.bedpe A
GSM3749545_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G10_AD006.chr3.normalized.rwr.bedpe A
GSM3749559_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G12_AD008.chr3.normalized.rwr.bedpe A
GSM3749560_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G12_AD010.chr3.normalized.rwr.bedpe A
GSM3749563_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G1_AD004.chr3.normalized.rwr.bedpe A
GSM3749564_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G1_AD006.chr3.normalized.rwr.bedpe A
GSM3749565_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G1_AD007.chr3.normalized.rwr.bedpe A
GSM3749572_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G2_AD012.chr3.normalized.rwr.bedpe A
GSM3749573_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G3_AD004.chr3.normalized.rwr.bedpe A
GSM3749584_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G4_AD010.chr3.normalized.rwr.bedpe A
GSM3749587_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G5_AD004.chr3.normalized.rwr.bedpe A
GSM3749592_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G5_AD012.chr3.normalized.rwr.bedpe A
GSM3749085_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD007.chr3.normalized.rwr.bedpe B
GSM3749111_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD004.chr3.normalized.rwr.bedpe B
GSM3749163_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B11_AD012.chr3.normalized.rwr.bedpe B
GSM3749169_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B12_AD008.chr3.normalized.rwr.bedpe B
GSM3749173_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B1_AD002.chr3.normalized.rwr.bedpe B
GSM3749189_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B3_AD007.chr3.normalized.rwr.bedpe B
GSM3749197_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B5_AD001.chr3.normalized.rwr.bedpe B
GSM3749201_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B5_AD007.chr3.normalized.rwr.bedpe B
GSM3749202_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B5_AD012.chr3.normalized.rwr.bedpe B
GSM3749207_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD007.chr3.normalized.rwr.bedpe B
GSM3749213_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD007.chr3.normalized.rwr.bedpe B
GSM3749214_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD008.chr3.normalized.rwr.bedpe B
GSM3749217_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B8_AD001.chr3.normalized.rwr.bedpe B
GSM3749232_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C10_AD007.chr3.normalized.rwr.bedpe B
GSM3749243_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C12_AD002.chr3.normalized.rwr.bedpe B
GSM3749253_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C1_AD007.chr3.normalized.rwr.bedpe B
GSM3749262_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C3_AD001.chr3.normalized.rwr.bedpe B
GSM3749264_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C3_AD004.chr3.normalized.rwr.bedpe B
GSM3749269_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C3_AD012.chr3.normalized.rwr.bedpe B
GSM3749271_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C4_AD007.chr3.normalized.rwr.bedpe B
GSM3749280_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C5_AD008.chr3.normalized.rwr.bedpe B
GSM3749294_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C7_AD007.chr3.normalized.rwr.bedpe B
GSM3749295_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C7_AD008.chr3.normalized.rwr.bedpe B
GSM3749302_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C8_AD012.chr3.normalized.rwr.bedpe B
GSM3749310_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C9_AD012.chr3.normalized.rwr.bedpe B
GSM3749323_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D11_AD012.chr3.normalized.rwr.bedpe B
GSM3749329_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D12_AD008.chr3.normalized.rwr.bedpe B
GSM3749348_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D3_AD006.chr3.normalized.rwr.bedpe B
GSM3749350_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D3_AD008.chr3.normalized.rwr.bedpe B
GSM3749362_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D5_AD006.chr3.normalized.rwr.bedpe B
GSM3749367_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D6_AD002.chr3.normalized.rwr.bedpe B
GSM3749381_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D8_AD001.chr3.normalized.rwr.bedpe B
GSM3749386_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D9_AD004.chr3.normalized.rwr.bedpe B
GSM3749389_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_D9_AD008.chr3.normalized.rwr.bedpe B
GSM3749397_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E10_AD010.chr3.normalized.rwr.bedpe B
GSM3749405_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E12_AD004.chr3.normalized.rwr.bedpe B
GSM3749406_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E12_AD006.chr3.normalized.rwr.bedpe B
GSM3749409_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E12_AD012.chr3.normalized.rwr.bedpe B
GSM3749411_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E1_AD002.chr3.normalized.rwr.bedpe B
GSM3749416_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E2_AD001.chr3.normalized.rwr.bedpe B
GSM3749421_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E2_AD010.chr3.normalized.rwr.bedpe B
GSM3749446_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E6_AD012.chr3.normalized.rwr.bedpe B
GSM3749448_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_E7_AD004.chr3.normalized.rwr.bedpe B
GSM3749474_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F10_AD010.chr3.normalized.rwr.bedpe B
GSM3749478_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F11_AD010.chr3.normalized.rwr.bedpe B
GSM3749497_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F2_AD008.chr3.normalized.rwr.bedpe B
GSM3749506_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F4_AD002.chr3.normalized.rwr.bedpe B
GSM3749509_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F4_AD008.chr3.normalized.rwr.bedpe B
GSM3749520_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_F6_AD010.chr3.normalized.rwr.bedpe B
GSM3749542_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G10_AD001.chr3.normalized.rwr.bedpe B
GSM3749546_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G10_AD007.chr3.normalized.rwr.bedpe B
GSM3749547_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G10_AD008.chr3.normalized.rwr.bedpe B
GSM3749552_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G11_AD008.chr3.normalized.rwr.bedpe B
GSM3749561_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G12_AD012.chr3.normalized.rwr.bedpe B
GSM3749562_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G1_AD002.chr3.normalized.rwr.bedpe B
GSM3749569_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G2_AD006.chr3.normalized.rwr.bedpe B
GSM3749570_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G2_AD007.chr3.normalized.rwr.bedpe B
GSM3749575_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G3_AD007.chr3.normalized.rwr.bedpe B
GSM3749578_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G4_AD001.chr3.normalized.rwr.bedpe B
GSM3749595_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G6_AD004.chr3.normalized.rwr.bedpe B
GSM3749606_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G7_AD012.chr3.normalized.rwr.bedpe B
GSM3749616_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G9_AD007.chr3.normalized.rwr.bedpe B
GSM3749631_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H11_AD010.chr3.normalized.rwr.bedpe B
GSM3749633_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H12_AD001.chr3.normalized.rwr.bedpe B
GSM3749634_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H12_AD002.chr3.normalized.rwr.bedpe B
GSM3749647_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H2_AD002.chr3.normalized.rwr.bedpe B
GSM3749655_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H3_AD012.chr3.normalized.rwr.bedpe B
GSM3749658_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H4_AD004.chr3.normalized.rwr.bedpe B
GSM3749669_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H6_AD002.chr3.normalized.rwr.bedpe B
GSM3749682_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H8_AD006.chr3.normalized.rwr.bedpe B
GSM3749684_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H8_AD010.chr3.normalized.rwr.bedpe B
GSM3749687_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H9_AD004.chr3.normalized.rwr.bedpe B
GSM3749689_190305_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H9_AD007.chr3.normalized.rwr.bedpe B
GSM3749704_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_A12_AD001.chr3.normalized.rwr.bedpe B
GSM3749710_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_A12_AD010.chr3.normalized.rwr.bedpe B
GSM3749712_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_A1_AD001.chr3.normalized.rwr.bedpe B
GSM3749720_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_A2_AD008.chr3.normalized.rwr.bedpe B
GSM3749730_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_A4_AD008.chr3.normalized.rwr.bedpe B
GSM3749735_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_A5_AD007.chr3.normalized.rwr.bedpe B
GSM3749747_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_A8_AD004.chr3.normalized.rwr.bedpe B
GSM3749764_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_B11_AD004.chr3.normalized.rwr.bedpe B
GSM3749766_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_B11_AD007.chr3.normalized.rwr.bedpe B
GSM3749769_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_B12_AD004.chr3.normalized.rwr.bedpe B
GSM3749772_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_B12_AD010.chr3.normalized.rwr.bedpe B
GSM3749775_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_B1_AD004.chr3.normalized.rwr.bedpe B
GSM3749783_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_B3_AD001.chr3.normalized.rwr.bedpe B
GSM3749793_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_B4_AD004.chr3.normalized.rwr.bedpe B
GSM3749798_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_B5_AD007.chr3.normalized.rwr.bedpe B
GSM3749831_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_C12_AD010.chr3.normalized.rwr.bedpe B
GSM3749839_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_C2_AD012.chr3.normalized.rwr.bedpe B
GSM3749841_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_C3_AD006.chr3.normalized.rwr.bedpe B
GSM3749842_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_C3_AD010.chr3.normalized.rwr.bedpe B
GSM3749859_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_C7_AD001.chr3.normalized.rwr.bedpe B
GSM3749875_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_D10_AD006.chr3.normalized.rwr.bedpe B
GSM3749922_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_D7_AD004.chr3.normalized.rwr.bedpe B
GSM3749932_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_E10_AD008.chr3.normalized.rwr.bedpe B
GSM3749937_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_E11_AD006.chr3.normalized.rwr.bedpe B
GSM3749942_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_E12_AD004.chr3.normalized.rwr.bedpe B
GSM3749943_190305_snm3Cseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_E12_AD006.chr3.normalized.rwr.bedpe B
